PostId,UserId,Comment
Community10,28,Good naming convention and well structured code will help you decrease the comments need. Don`t forget that each line of comments you add it's a new line to maintain!!
Community11,9,"+1 for truth, -1 for practicality. :)"
Community12,11,"@Gabriel: that was already in my answer, look at the end."
Thomas Owens1,28,"Sometimes it's the technique I use, but also when I'm too deep into my work and I want to change my mind to get a ""fresh"" look to my work."
Wizard791,28,"@Lorenzo: sorry, I've read it and did not catch this one..."
DavRob601,54,"I hate when people use that second example in your question. `} //end while` just means the beginning of the while loop is so far away, you can't even see it, and there are no hints that the code you're looking at is in a loop. Heavy refactoring should be seriously preferred to comments about how the code is structured."
Brandon1,11,"@Carson: while keeping blocks short is a well known rule, it doesn't mean that we always can apply it."
HoLyVieR1,33,"What about copying that 3-space indented code into your tab-indented file, which you have set your tabs to 3 spaces? When you send your code to your compatriots they wonder why that function has such bad indentation!"
grokus1,17,How do you manage scope creep?  With a truncheon and a surly disposition.
Dónal1,17,+1; making sure they understand that this request has consequences (consequences they get to share!) is fundamentally the way to go.
nivlam1,67,"Good point. I've seen the same with video editors. Many of them can zoom around Premiere, Final Cut, etc, but if it crashes, freezes, or hangs, they are stuck."
ChrisF1,4,"I like the first part of the question, but I don't think we should have any locale or time specific components. Rates change depending on specific location (even in the US, different locations will have different rates) and time (rates change over time and become no longer valid)."
Josip Medved1,67,"I gotcha, but check out this one: http://programmers.stackexchange.com/questions/19/programmers-salary-in-uk"
Hannibal1,67,"Can you give me any ballpark on, say, a wordpress theme, for example?"
Sergio Acosta1,4,"People who find this site might not be from Stack Overflow. In addition, people who are of interest might not be on Stack Overflow to have a profile there."
Walter1,67,Thomas Owens - Better?
Andreas Bonini1,24,@Thomas: Which is why I linked to stackoverflow itself.  You don't need an account on stackoverflow to view peoples profiles and view tags.  Viewing tags is nothing new if you are using this site as this site has tags too.
Task1,4,"I think you should narrow your question to specific programming books. If you include software development, you open the door books including Software Project Survival Guide, A Discipline for Software Engineering, Waltzing with Bears, The Cathedral & The Bazaar, Software Architectures in Practice, Distributed Systems Concepts and Design, Software Requirements, Rapid Development...these are great and well-cited books that have everything to do with software development/engineering, but little to do with the actual programming of software."
Mike Clark1,4,"I think this is much better, and much more useful to the general community of programmers."
makerofthings71,66,"I like the last one, working on a different part. It helps me not just for focus but also for some procrastination when the code is big and complicated"
Fosco1,66,This is probably one of the easiest (if your on Linux) things that you can do to instantly keep yourself productive. That is until you figure out how easy it is to do Ctrl+Alt+Left (or whatever combination you use)
Na7coldwater1,4,I'm just clarifying for other people who might read this question. Nothing against this answer - I gave you +1.
Jason Webb1,4,I don't agree with this. A performance requirement is a valid non-functional requirement for a system.
mbillard1,74,"ah, is it called hopping? Now i know what i really do at work. hop hop hop .."
Macha1,11,@systempuntoout: I call it that way because it resembles to me the frequency hopping method!
badp1,53,Technically if there is a clearly defined performance related requirement then it could be said that you have identified a performance problem and have to account for it in your solution. What I'm talking about is getting clever in advance so that you can avoid non-specific 'potential' problems.
Steve K1,11,"I just tried to adopt pair programming as a solo developer, and it improved the quality of my work!"
John1,74,"Here in italy, instead of foo and bar, we have Pippo (Goofy).. Awful! Ex: var pippo = 'ciao'."
Brian Kim1,11,You are inefficient at keyboard code browsing. You should use CTRL+LEFT and CTRL+RIGHT to skip through whitespace and tokens. So indentation wouldn't matter.
Josh Hinman1,101,"In agreement, past its peak."
User1,66,Source? (15 chars)
Joel Barsotti1,66,Like? (15 chars)
NickAldwin1,86,Not a speciality!
MatthewD1,89,"Hmm, I'm not sure how precise the OP is being with the word ""speciality"". Could simply mean ""skill"" or similar..."
Donny Kurnia1,61,"The Android effect could be short-lived if sl4a gets completed. The eventual goal of sl4a is to allow people to write apps for Android in any programming language. Also, cross-platform toolkits like Appcellerator make it at least partially unnecessary to learn Java for Android development."
DisgruntledGoat1,13,Brain stack overflow.
richeym1,86,"It will take a long time for sl4a to take off for general development due to performance concerns. I'm still not sold on cross-platform toolkits for high quality applications. For something quick/limited resources, sure"
Tom1,66,"And powers Android, a cell phone gaining momentum and popularity everywhere"
Giel1,66,"While I think this is a great idea, doing it as a beginner project can be intimidating. Especially when you don't have code reviews or other people that can add input. My own projects have gone through many rewrites and thousands of lines of code because nobody told me X was better, a problem I still have. Joining an established project will accelerate learning much better"
Vicente Nario1,38,"That's a bit rich, @Finnw - what are you doing on here then? ;-)"
f4lco1,74,@TheLQ Banks or Insurance companies started 20\30 years ago have their software foundations in COBOL.
mwgriffith1,91,Great question!
antony.trupe1,11,Can you split this in two different answers so that they can be voted independently?
diadem1,22,"True. Ohh, so true"
p.campbell1,9,"hardly meaningless, I think. Please do."
busyspin1,18,It's interesting that **immutability** isn't mentioned anywhere in the book.
ChaosPandion1,18,**Programming** quote?
Nick Craver1,92,"I don't think there's any way to translate the humor to English, but nice quote."
Matt1,113,Do as I say not as I do :-)
rightDrop1,66,"Applications like NetBeans or Eclipse are large by themselves. I've seen similarly huge startup times with other large programs, although it was just a *tiny* bit faster. But a tiny bit does not yield a language slow"
TheVillageIdiot1,66,"Startup costs are a problem, but you can tweak it with some command line switches"
btlog1,66,I'm confused...
theycallmemorty1,24,"@TheLQ: It depends on your experience level I guess, doing something from scratch yourself will teach you a lot of lessons and things you wouldn't learn by joining a team which already has many things done.  There's goods and bads about your own or someone else's project in my opinion."
user8531,101,How many users actually know about command line switches?
EddieC1,101,@finnw - You must be a parent :)
Tall Jeff1,61,"what performance concerns? The Python version is native CPython with all the APIs being called via a Dalvik bridge (IIRC). So it should be nearly as performant as ""native"" Dalvik code, in the absence of a JIT. Android 2.2 does have a JIT, but at that point, there's no reason not to use Jython anymore, since it would be faster than CPython and not hugely slower than Java."
Dawie Strauss1,86,Is this actually subjective enough?
Jay Bazuzi1,4,"Ah. Yeah, your absolutely right in that case. You don't worry about the possibilities because there are so many, but focus on what you know."
Jim A1,4,Who said anyone was browsing Twitter when coding?
Mike King1,4,"That's true, but I would suspect that these people would post some things of interest - either URLs, a blog post (theirs or someone else's) of interest, etc."
LBushkin1,38,"@Casebah - good point. I wonder if I asked this on Stackoverflow itself whether it would be answered or closed as ""not programming related""? I'll push the discussion up to ""meta"""
